...ဖြစ်စေ...ဖြစ်စေ	... ဖြစ် စေ... ဖြစ် စေ	... hpji' sei ... hpji' se...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... si...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... zi...လို...ငြား	... လို... ငြား	... lou ... njaကကတစ်	က က တစ်	ka. ga- diကကတိုး	က က တိုး	ka. ga- douကကုသန်	က ကု သန်	ka. ku. thaကကုသန်	က ကု သန်	kau' ka- thaကကူရံ	က ကူ ရံ	ka. ku janကကြိုး	က ကြိုး	ka. gyou:ကကြိုးတန်ဆာ	က ကြိုး တန် ဆာ	ka. gyou: da- zaကကြီကကြောင်လုပ်	က ကြီ က ကြောင် လုပ်	ga- gyi ga- gyaun lou'ကကြီး	က ကြီး	ka. gyi:ကကြီးထွန်	က ကြီး ထွန်	ka. gyi: htunကကွက်	က ကွက်	ka. gwe'ကချလာ	က ချ လာ	ka- cha- la-ကချင်	က ချင်	ka- chinကချေသည်	က ချေ သည်	ka. gyei dheကချော်ကချွတ်	က ချော် က ချွတ်	ka- cho ka- chu'ကစဉ့်ကရဲ	က စဉ့် က ရဲ	ga- zin. ga je:ကစဉ့်ကလျား	က စဉ့် က လျား	ga- zin. ga- ja:ကစား	က စား	ga- za:ကစားကွက်	က စား ကွက်	ga- za: gwe'ကစားကွင်း	က စား ကွင်း	ga- za: gwin:ကစားခုန်စား	က စား ခုန် စား	ga- za: khoun za:ကစားစရာ	က စား စ ရာ	ga- za: za- jaကစားဒိုင်	က စား ဒိုင်	ga- za: dainကစားဖော်	က စား ဖော်	ga- za: boကစားဝိုင်း	က စား ဝိုင်း	ga- za: wain:ကစားသမား	က စား သ မား	ga- za: dha- ma:ကစိန်းကဝါး	က စိန်း က ဝါး	ga- zein: ga- wa:ကစိုကရွား	က စို က ရွား	ga- zou ga- jwa:ကစီ	က စီ	ga- ziကစီဓာတ်	က စီ ဓာတ်	ga- zi da'ကစော့ခါး	က စော့ ခါး	ga- zo. ga:ကစော်	က စော်	ga- zoကဆုန်	က ဆုန်	ka- hsounကဆုန်ပေါက်	က ဆုန် ပေါက်	ka- hsoun pau'ကဇာတ်	က ဇာတ်	ka. za'ကည	က ည	ka- nja.ကညင်	က ညင်	ka- njinကညင်ဆီ	က ညင် ဆီ	ka- njin ziကညင်ဆီတိုင်	က ညင် ဆီ တိုင်	ka- njin zi dainကညစ်	က ညစ်	ka- nji'ကညာ	က ညာ	ka- njaကညာစစ်	က ညာ စစ်	ka- nja si'ကညာမြှေး	က ညာ မြှေး	ka- nja mhjei:ကညို့	က ညို့	ka- njou.ကညွတ်	က ညွတ်	ka- nju'ကဏန်း	က ဏန်း	ga- nan:ကဏန်းမြင်း	က ဏန်း မြင်း	ga- nan: mjin:ကဏန်းလက်မ	က ဏန်း လက် မ	ga- nan: le' ma.ကတညုတ	က တ ညု တ	ka- tin nju. ta.ကတင်	က တင်	ka- tinကတင်	က တင်	ka. tinကတည်းက	က တည်း က	ga- de: ga.ကတတ်ငန်း	က တတ် ငန်း	ga- da' ngan:ကတမ်းကရမ်း	က တမ်း က ရမ်း	ga- dan: ga- jan:ကတိ	က တိ	ga- di.ကတိကဝတ်	က တိ က ဝတ်	ga- di. ka- wu'ကတိခံဝန်ချက်	က တိ ခံ ဝန် ချက်	ga- di. khan wun gye'ကတိခံဝန်ချုပ်	က တိ ခံ ဝန် ချုပ်	ga- di. khan wun gyou'ကတိစာချုပ်	က တိ စာ ချုပ်	ga- di. sa gyou'ကတိတည်	က တိ တည်	ga- di. tiကတိထား	က တိ ထား	ga- di. hta:ကတိပေး	က တိ ပေး	ga- di. pei:ကတိပျက်	က တိ ပျက်	ga- di. pje'ကတိပြု	က တိ ပြု	ga- di pju.ကတိဖျက်	က တိ ဖျက်	ga- di. hpje'ကတိသစ္စာပြု	က တိ သစ် စာ ပြု	ga- di. thi' sa pju.ကတိသစ္စာပြုပွဲ	က တိ သစ် စာ ပြု ပွဲ	ga- di. thi' sa pju. bwe:ကတိမ်းကပါးဖြစ်	က တိမ်း က ပါး ဖြစ်	ga- dein: ga- ba: hpji'ကတိမ်းကယိမ်း	က တိမ်း က ယိမ်း	ga- dein: ga- jein:ကတိုက်ကရိုက်	က တိုက် က ရိုက်	ga- dai' ga- jai'ကတိုး	က တိုး	ga- dou:ကတိုးခွာ	က တိုး ခွာ	ga- dou: khwaကတုတ်	က တုတ်	ga- dou'ကတုတ်ကျင်း	က တုတ် ကျင်း	ga- dou' kyin:ကတုန်ကယင်	က တုန် က ယင်	ga- doun ga- jinကတုန်းကတိုက်လုပ်	က တုန်း က တိုက် လုပ်	ga- doun: ga- dai' lou'ကတူး	က တူး	ga- du:ကတောကမျော	က တော က မျော	ga- do: ga- mjo:ကတောက်	က တောက်	ga- dau'ကတောက်ကဆတ်ဖြစ်	က တောက် က ဆတ် ဖြစ်	ga- dau' ga- hsa' hpji'ကတောက်ကတက်ဖြစ်	က တောက် က တက် ဖြစ်	ga- dau' ga- de' hpji'ကတောက်စပ်	က တောက် စပ်	ga- dau' sa'ကတောင်ချောက်ချားဖြစ်	က တောင် ချောက် ချား ဖြစ်	ga- daun chau' cha: hpji'ကတော့	က တော့	ga- do.ကတော့ပုံ	က တော့ ပုံ	ga- do. pounကတော်	က တော်	ga- doကတွတ်	က တွတ်	ga- du'ကတွတ်မုန့်	က တွတ် မုန့်	ga- du' moun.ကထိက	က ထိ က	ka- hti. ka.ကထိန်	က ထိန်	ka- hteinကဒတ်	က ဒတ်	ga- da'ကဒူဥ	က ဒူ ဥ	ka- du u.ကနကုတ်	က န ကုတ်	ka- na- gou'ကနခို	က န ခို	ka- na- khouကနစို	က န စို	ka- na- zou
ကနစိုး	က န စိုး	ka- na- zou:
ရမန်ခံ	ရ မန် ခံ	ja- man khan
ရမန်ရက်	ရ မန် ရက်	ja- man je'
ရမယ်ရှာ	ရ မယ် ရှာ	ja- me sha
ရမိရရာ	ရ မိ ရ ရာ	ja. mi. ja. ja
ရမုံး	ရ မုံး	ra- moun:
ရယူ	ရ ယူ	ja. ju
ရရစားစား	ရ ရ စား စား	ja. ja. sa: za:
ရရစ်	ရ ရစ်	ja. ji'
ရရှိ	ရ ရှိ	ja. shi.
ရလဒ်	ရ လဒ်	ja. la'
ရဝမ်	ရ ဝမ်	ra- wan
ရဝိန်	ရ ဝိန်	ja- wein
ရဝေ	ရ ဝေ	ja- wei
ရဝေတိုင်	ရ ဝေ တိုင်	ja- wei dain
ရသ	ရ သ	ja. tha.
ရသ	ရ သ	ra tha.
ရသစာပေ	ရ သ စာ ပေ	ja. tha. sa pei
ရသစာပေ	ရ သ စာ ပေ	ra tha. sa pei
ရသမင်ဂျီနတ်	ရ သ မင် ဂျီ နတ်	ja. tha- min gyi na'
ရသာရုံ	ရ သာ ရုံ	ja. dha joun
ရသေ့	ရ သေ့	ja- thei.
ရသေ့စိတ်ဖြေ	ရ သေ့ စိတ် ဖြေ	ja- thei. sei' hpjei
ရသေ့စူး	ရ သေ့ စူး	ja- thei. zu:
ရဟတ်	ရ ဟတ်	ja- ha'
ရဟတ်ယာဉ်	ရ ဟတ် ယာဉ်	ja- ha' jin
ရဟန္တာ	ရ ဟန် တာ	ja- han: da
ရဟန်း	ရ ဟန်း	ja- han:
ရဟန်းကိစ္စပြီး	ရ ဟန်း ကိစ် စ ပြီး	ja- han: kei' sa. pji:
ရဟန်းခံ	ရ ဟန်း ခံ	ja- han: khan
ရဟန်းဒကာ	ရ ဟန်း ဒ ကာ	ja- han: da- ga
ရဟန်းဘောင်	ရ ဟန်း ဘောင်	ja- han: baun
ရဟန်းလောင်း	ရ ဟန်း လောင်း	ja- han: laun:
ရဟန်းဝတ်	ရ ဟန်း ဝတ်	ja- han: wu'
ရဟန်းအမ	ရ ဟန်း အ မ	ja- han: a- ma.
ရဟိုင်း	ရ ဟိုင်း	ja- hain:
ရဟုံး	ရ ဟုံး	ja- houn:
ရအောင်	ရ အောင်	ja. aun
ရဿနှစ်	ရ ဿ နှစ်	ra' tha. nhi'
ရဿသရ	ရ ဿ သ ရ	ra' tha. tha- ra.
ရက်ကက်	ရက် ကက်	re' ke'
ရက်ကန်း	ရက် ကန်း	je' kan:
ရက်ကန်းကြိုး	ရက် ကန်း ကြိုး	je' kan: gyou:
ရက်ကန်းကြိုးမြွေ	ရက် ကန်း ကြိုး မြွေ	je' kan: gyou: mwei
ရက်ကန်းခတ်	ရက် ကန်း ခတ်	je' kan: kha'
ရက်ကန်းခူ	ရက် ကန်း ခူ	je' kan: khu
ရက်ကန်းစင်	ရက် ကန်း စင်	je' kan: zin
ရက်ကန်းရှယ်	ရက် ကန်း ရှယ်	je' kan: she
ရက်ကန်းသား	ရက် ကန်း သား	je' kan: dha:
ရက်ကောင်းရက်မြတ်	ရက် ကောင်း ရက် မြတ်	je' kaun: je' mja'
ရက်ကျပ်	ရက် ကျပ်	je' kya'
ရက္ခိုသ်	ရက် ခိုသ်	je' khai'
ရက်ချန်	ရက် ချန်	je' chan
ရက်ချန်ဖျား	ရက် ချန် ဖျား	je' chan bja:
ရက်ချိန်း	ရက် ချိန်း	je' chein:
ရက်ချိန်းပေး	ရက် ချိန်း ပေး	je' chein: pei:
ရက်ချုပ်	ရက် ချုပ်	je' chou'
ရက်ခြာ	ရက် ခြာ	je' cha
ရက်ခြာဖျား	ရက် ခြာ ဖျား	je' cha bja:
ရက်ခြား	ရက် ခြား	je' cha:
ရက်ငင်	ရက် ငင်	je' ngin
ရက်စက်	ရက် စက်	je' se'
ရက်စုံ	ရက် စုံ	je' soun
ရက်စုံသတ်	ရက် စုံ သတ်	je' soun tha'
ရက်စွဲ	ရက် စွဲ	je' swe:
ရက်ဆက်	ရက် ဆက်	je' hse'
ရက်တက်ရည်	ရက် တက် ရည်	je' te' ji
ရက်တိုသင်တန်း	ရက် တို သင် တန်း	je' tou thin dan:
ရက်ထည်	ရက် ထည်	je' hte
ရက်ပိုင်း	ရက် ပိုင်း	je' pain:
ရက်ဖောက်	ရက် ဖောက်	je' hpau'
ရက်ဖောက်ယောက်	ရက် ဖောက် ယောက်	je' hpau' jau'
ရက်ဖျင်	ရက် ဖျင်	je' hpjin
ရက်မ	ရက် မ	je' ma.
ရက်မစုံ	ရက် မ စုံ	je' ma- soun
ရက်မလျှို	ရက် မ လျှို	je' ma. shou
ရက်ရက်	ရက် ရက်	je' je'
ရက်ရာဇာ	ရက် ရာ ဇာ	je' ja za
ရက်ရော	ရက် ရော	je' jo:
ရက်ရှည်လများ	ရက် ရှည် လ များ	je' shei la. mja:
ရက်လည်	ရက် လည်	je' le
ရက်လည်ဆွမ်း	ရက် လည် ဆွမ်း	je' le hsun:
ရက်လုပ်	ရက် လုပ်	je' lou'
ရက်လွန်	ရက် လွန်	je' lun
ရက်သတ်	ရက် သတ်	je' tha'
ရက်သတ္တပတ်	ရက် သတ် တ ပတ်	je' tha' da- ba'
ရက်သား	ရက် သား	je' tha:
ရင့်ကျက်	ရင့် ကျက်	jin. kye'
ရင့်ကျူး	ရင့် ကျူး	jin. kyu:
ရင့်ကြွေး	ရင့် ကြွေး	jin. kywei:
ရင့်ချော်	ရင့် ချော်	jin. cho
ရင့်ညောင်း	ရင့် ညောင်း	jin. njaun:
ရင့်ထော်	ရင့် ထော်	jin. hto
ရင့်မကြီး	ရင့် မ ကြီး	jin. ma- gyi:
ရင့်မာ	ရင့် မာ	jin. ma
ရင့်မာကြီး	ရင့် မာ ကြီး	jin. ma gyi:
ရင့်မာတစ်ကျိပ်	ရင့် မာ တစ် ကျိပ်	jin. ma da- gyei'
ရင့်ရူ	ရင့် ရူ	jin. ju
ရင့်ရော်	ရင့် ရော်	jin. jo
ရင့်သန်	ရင့် သန်	jin. than
ရင့်သီး	ရင့် သီး	jin. thi:
ရင်ကမ်း	ရင် ကမ်း	jin gan:
ရင်ကမ်း	ရင် ကမ်း	jin ngan:
ရင်ကယ်	ရင် ကယ်	jin ke
ရင်ကော့	ရင် ကော့	jin ko.
ရင်ကျပ်	ရင် ကျပ်	jin kya'
ရင်ကျိုး	ရင် ကျိုး	jin kyou:
ရင်ကြားစေ့	ရင် ကြား စေ့	jin gya: sei.
ရင်ကွဲ	ရင် ကွဲ	jin gwe:
ရင်ကွဲ	ရင် ကွဲ	jin kwe:
ရင်ကွဲဇရပ်	ရင် ကွဲ ဇ ရပ်	jin gwe: za- ja'
ရင်ကွဲနာကျ	ရင် ကွဲ နာ ကျ	jin gwe: na kya.
ရင်ကွဲပက်လက်	ရင် ကွဲ ပက် လက်	jin gwe: pe' le'
ရင်ကွဲမြှုံး	ရင် ကွဲ မြှုံး	jin gwe: mhjoun:
ရင်ကွဲအင်္ကျီ	ရင် ကွဲ အင် ကျီ	jin gwe: in: gyi
ရင်ခတ်	ရင် ခတ်	jin ga'
ရင်ခုန်	ရင် ခုန်	jin khoun
ရင်ခေါင်း	ရင် ခေါင်း	jin gaun:
ရင်ခေါင်းသံ	ရင် ခေါင်း သံ	jin gaun: dhan
ရင်ခံ	ရင် ခံ	jin gan
ရင်ခံ	ရင် ခံ	jin khan
ရင်ချောင်	ရင် ချောင်	jin chaun
ရင်ခွင်	ရင် ခွင်	jin gwin
ရင်ခွင်ပိုက်	ရင် ခွင် ပိုက်	jin gwin bai'
ရင်ခွင်ပိုက်ဘုရင်	ရင် ခွင် ပိုက် ဘု ရင်	jin gwin bai' ba- jin
ရင်ခွင်ပိုက်အစိုးရ	ရင် ခွင် ပိုက် အ စိုး ရ	jin gwin bai' a- sou: ja.
ရင်ခွင်ပိုက်အဖွဲ့	ရင် ခွင် ပိုက် အ ဖွဲ့	jin gwin bai' a- hpwe.
ရင်ခွဲရုံ	ရင် ခွဲ ရုံ	jin gwe: joun
ရင်စည်း	ရင် စည်း	jin zi:
ရင်စို့	ရင် စို့	jin zou.
ရင်စေ့အင်္ကျီ	ရင် စေ့ အင် ကျီ	jin zi. in: gyi
ရင်ဆာ	ရင် ဆာ	jin hsa
ရင်ဆိုင်	ရင် ဆိုင်	jin hsain
ရင်ဆိုင်	ရင် ဆိုင်	jin zain
ရင်ဆို့	ရင် ဆို့	jin hsou.
ရင်ညွန့်	ရင် ညွန့်	jin njun.
ရင်တမမ	ရင် တ မ မ	jin ta- ma. ma.
ရင်တား	ရင် တား	jin da:
ရင်တိုက်ထယ်	ရင် တိုက် ထယ်	jin dai' hte
ရင်တွန်း	ရင် တွန်း	jin dun:
ရင်ထိုး	ရင် ထိုး	jin dou:
ရင်ထိုးတံဆိပ်	ရင် ထိုး တံ ဆိပ်	jin dou: da- zei'
ရင်ထုမနာ	ရင် ထု မ နာ	jin du. ma- na
ရင်ဒူးရိုး	ရင် ဒူး ရိုး	jin du: jou:
ရင်နင့်	ရင် နင့်	jin nin.
ရင်နာ	ရင် နာ	jin na
ရင်နှစ်သည်းချာ	ရင် နှစ် သည်း ချာ	jin nhi' thi: gya
ရင်ပုံ	ရင် ပုံ	jin boun
ရင်ပုံသား	ရင် ပုံ သား	jin boun dha:
ရင်ပူ	ရင် ပူ	jin pu
ရင်ပေါင်တန်း	ရင် ပေါင် တန်း	jin baun dan:
ရင်ပေါ့	ရင် ပေါ့	jin po.
ရင်ပြင်	ရင် ပြင်	jin bjin
ရင်ပြည့်	ရင် ပြည့်	jin pjei.
ရင်ဖို	ရင် ဖို	jin hpou
ရင်ဖုံး	ရင် ဖုံး	jin boun:
ရင်ဖုံးအင်္ကျီ	ရင် ဖုံး အင် ကျီ	jin boun: in: gyi
ရင်ဖွင့်	ရင် ဖွင့်	jin hpwin.
ရင်ဖွဲ့	ရင် ဖွဲ့	jin bwe.
ရင်ဘတ်	ရင် ဘတ်	jin ba'
ရင်ဘတ်စည်တီး	ရင် ဘတ် စည် တီး	jin ba' si ti:
ရင်မ	ရင် မ	jin ma.
ရင်ရှား	ရင် ရှား	jin sha:
ရင်လေး	ရင် လေး	jin lei:
ရင်လျှောက်	ရင် လျှောက်	jin shau'
ရင်လွှမ်း	ရင် လွှမ်း	jin lhwan:
ရင်ဝ	ရင် ဝ	jin wa.
ရင်သပ်ရှုမော	ရင် သပ် ရှု မော	jin dha' shu. mo:
ရင်သား	ရင် သား	jin dha:
ရင်သိုင်း	ရင် သိုင်း	jin dhain:
ရင်သွေး	ရင် သွေး	jin dhwei:
ရင်ဟာ	ရင် ဟာ	jin ha
ရင်အုပ်	ရင် အုပ်	ji nou'
ရင်အုပ်မကွာ	ရင် အုပ် မ ကွာ	ji nou' ma- kwa
ရင်အုံ	ရင် အုံ	ji noun
ရင်အောင့်	ရင် အောင့်	ji naun.
ရင်အေး	ရင် အေး	ji nei:
ရင်းချာ	ရင်း ချာ	jin: cha
ရင်းငွေ	ရင်း ငွေ	jin: ngwei
ရင်းစပ်	ရင်း စပ်	jin: za'
ရင်းစား	ရင်း စား	jin: za:
ရင်းစားရ	ရင်း စား ရ	jin: za: ja.
ရင်းစွဲ	ရင်း စွဲ	jin: zwe:
ရင်းဆွဲ	ရင်း ဆွဲ	jin: zwe:
ရင်းတိုက်	ရင်း တိုက်	jin: dai'
ရင်းထောင်	ရင်း ထောင်	jin: daun
ရင်းနှီး	ရင်း နှီး	jin: nhi:
ရင်းနှီးမြှုပ်နှံ	ရင်း နှီး မြှုပ် နှံ	jin: nhi: mhjou' nhan
ရင်းနှောင်း	ရင်း နှောင်း	jin: nhaun:
ရင်းပင်	ရင်း ပင်	jin: bin
ရင်းပြား	ရင်း ပြား	jin: bja:
ရင်းမာ	ရင်း မာ	jin: ma
ရင်းမြစ်	ရင်း မြစ်	jin: mji'
ရင်းရင်းနှီးနှီး	ရင်း ရင်း နှီး နှီး	jin: jin: nhi: nhi:
ရင်းရဲ	ရင်း ရဲ	jin: je:
ရစ်ကြိုး	ရစ် ကြိုး	ji' kyou:
ရစ်ကြိုးစေး	ရစ် ကြိုး စေး	ji' kyou: zei:
ရစ်ခုံ	ရစ် ခုံ	ji' khoun
ရစ်ခွေ	ရစ် ခွေ	ji' khwei
ရစ်တံ	ရစ် တံ	ji' tan
ရစ်တံထိုး	ရစ် တံ ထိုး	ji' tan htou:
ရစ်ပတ်	ရစ် ပတ်	ji' pa'
ရစ်ဘီး	ရစ် ဘီး	ji' bein:
ရစ်လုံး	ရစ် လုံး	ji' loun:
ရစ်ဝဲ	ရစ် ဝဲ	ji' we:
ရစ်ဝဲရစ်ဝဲ	ရစ် ဝဲ ရစ် ဝဲ	ji' we: ji' we:
ရစ်သီရစ်သီ	ရစ် သီ ရစ် သီ	ji' thi ji' thi
ရည်ငံ	ရည် ငံ	jin gan
ရည်စူး	ရည် စူး	ji zu:
ရည်စောင်	ရည် စောင်	ji saun
ရည်ညွှန်း	ရည် ညွှန်း	ji njhun:
ရည်ညွှန်းချက်	ရည် ညွှန်း ချက်	ji njhun: gye'
ရည်တူ	ရည် တူ	ji du
ရည်မွန်	ရည် မွန်	ji mun
ရည်မှတ်	ရည် မှတ်	ji mha'
ရည်မှန်း	ရည် မှန်း	ji mhan:
ရည်မှန်းချက်	ရည် မှန်း ချက်	ji mhan: gye'
ရည်ရ	ရည် ရ	ji ja.
ရည်ရော်	ရည် ရော်	ji jo
ရည်ရွယ်	ရည် ရွယ်	ji jwe
ရည်ရွယ်ချက်	ရည် ရွယ် ချက်	ji jwe gye'
ရည်သန်	ရည် သန်	ji than
ရည်သန်ရိုးရင်း	ရည် သန် ရိုး ရင်း	ji than jou: jin:
ရည်သွား	ရည် သွား	ji dhwa:
ရည်းစား	ရည်း စား	ji: za:
ရည်းစားထား	ရည်း စား ထား	ji: za: hta:
ရည်းစားသနံ	ရည်း စား သ နံ	ji: za: tha- nan
ရတ္တပိတ်နာ	ရတ် တ ပိတ် နာ	ra' ta- bei' na
ရန်ကော	ရန် ကော	ja ngo:
ရန်ခိုက်ဒေါသ	ရန် ခိုက် ဒေါ သ	jan khai' do: dha.
ရန်ငူး	ရန် ငူး	jan ngu:
ရန်ငြိုး	ရန် ငြိုး	jan njhou:
ရန်ငြိုးထား	ရန် ငြိုး ထား	jan njhou: hta:
ရန်စ	ရန် စ	jan sa.
ရန်စ	ရန် စ	jan za.
ရန်စကား	ရန် စ ကား	jan za- ga:
ရန်စောင်	ရန် စောင်	jan saun
ရန်စွယ်	ရန် စွယ်	jan zwe
ရန်စွယ်နှင့်ငေါငေါ	ရန် စွယ် နှင့် ငေါ ငေါ	jan zwe ne. ngo: ngo:
ရန်ဆူးရန်ငြောင့်	ရန် ဆူး ရန် ငြောင့်	jan zu: jan njaun.
ရန်တိုက်	ရန် တိုက်	jan tai'
ရန်တု	ရန် တု	jan tu.
ရန်တုံ့	ရန် တုံ့	jan toun.
ရန်တွေ့	ရန် တွေ့	jan twei.
ရန်ထောင်	ရန် ထောင်	jan htaun
ရန်ပုံငွေ	ရန် ပုံ ငွေ	jan boun ngwei
ရန်ပြု	ရန် ပြု	jan pju.
ရန်ပွဲ	ရန် ပွဲ	jan bwe:
ရန်ဖက်	ရန် ဖက်	jan be'
ရန်ဖြစ်	ရန် ဖြစ်	jan hpji'
ရန်မာန်	ရန် မာန်	jan man
ရန်မူ	ရန် မူ	jan mu
ရန်ရှာ	ရန် ရှာ	jan sha
ရန်လို	ရန် လို	jan lou
ရန်လုပ်	ရန် လုပ်	jan lou'
ရန်သတ္တရု	ရန် သတ် တ ရု	jan tha' ta- ru.
ရန်သူ	ရန် သူ	jan dhu
ရန်သူမျိုးငါးပါး	ရန် သူ မျိုး ငါး ပါး	jan dhu mjou: nga: ba:
ရန်အလို့ငှာ	ရန် အ လို့ ငှာ	jan a- lou. ngha
ရပ်ကျော်ရွာကျော်ဖြစ်	ရပ် ကျော် ရွာ ကျော် ဖြစ်	ja' kyo jwa gyo hpji'
ရပ်ကြီးသား	ရပ် ကြီး သား	ja' kyi: dha:
ရပ်ကြီးသူ	ရပ် ကြီး သူ	ja' kyi: dhu
ရပ်ကွက်	ရပ် ကွက်	ja' kwe'
ရပ်စောက်စာ	ရပ် စောက် စာ	ja' sau' sa
ရပ်စဲ	ရပ် စဲ	ja' se:
ရပ်စွန်ရွာနား	ရပ် စွန် ရွာ နား	ja' sun jwa na:
ရပ်ဆိုင်း	ရပ် ဆိုင်း	ja' hsain:
ရပ်ဆွေရပ်မျိုး	ရပ် ဆွေ ရပ် မျိုး	ja' hswei ja' mjou:
ရပ်တည်	ရပ် တည်	ja' ti
ရပ်တည်ချက်	ရပ် တည် ချက်	ja' ti gye'
ရပ်တန့်	ရပ် တန့်	ja' tan.
ရပ်တော်မူ	ရပ် တော် မူ	ja' to mu
ရပ်နား	ရပ် နား	ja' na:
ရပ်နေ	ရပ် နေ	ja' nei'
ရပ်ပြစ်ရှစ်ပါး	ရပ် ပြစ် ရှစ် ပါး	ja' pji' shi' pa:
ရပ်မိရပ်ဖ	ရပ် မိ ရပ် ဖ	ja' mi. ja' hpa.
ရပ်မှုရွာမှု	ရပ် မှု ရွာ မှု	ja' mhu. jwa mhu.
ရပ်ရွာ	ရပ် ရွာ	ja' jwa
ရပ်ဝန်း	ရပ် ဝန်း	ja' wun:
ရပ်ဝေး	ရပ် ဝေး	ja' wei:
ရပ်သိရွာသိ	ရပ် သိ ရွာ သိ	ja' thi. jwa dhi.
ရပ်သူရွာသား	ရပ် သူ ရွာ သား	ja' dhu jwa dha:
ရပ်ဋ္ဌာန်	ရပ်ဋ် ဌာန်	ja' htan
ရမ္မက်	ရမ် မက်	ja- me'
ရမ္မက်ကြီး	ရမ် မက် ကြီး	ja- me' kyi:
ရမ်းကား	ရမ်း ကား	jan: ga:
ရမ်းဆ	ရမ်း ဆ	jan: hsa.
ရမ်းရမ်း	ရမ်း ရမ်း	jan: jan:
ရမ်းရော်	ရမ်း ရော်	jan: jo
ရမ်းလွေ့	ရမ်း လွေ့	jan: lwei.
ရမ်းသန်း	ရမ်း သန်း	jan: than:
ရယ်စရာ	ရယ် စ ရာ	je za- ja
ရယ်စရာ	ရယ် စ ရာ	ji za- ja
ရယ်စရာကောင်း	ရယ် စ ရာ ကောင်း	je za- ja kaun:
ရယ်စရာကောင်း	ရယ် စ ရာ ကောင်း	ji za- ja kaun:
ရယ်စရာဖြစ်	ရယ် စ ရာ ဖြစ်	je za- ja hpji'
ရယ်စရာဖြစ်	ရယ် စ ရာ ဖြစ်	ji za- ja hpji'
ရယ်ဖွယ်	ရယ် ဖွယ်	je bwe
ရယ်မော	ရယ် မော	je mo:
ရယ်ရယ်ဖတ်ဖတ်	ရယ် ရယ် ဖတ် ဖတ်	je je hpa' hpa'
ရယ်ရွှင်ဖွယ်	ရယ် ရွှင် ဖွယ်	je shwin bwe
ရယ်ရွှန်းဖတ်ရွှန်း	ရယ် ရွှန်း ဖတ် ရွှန်း	je shun: hpa' shun:
ရယ်သွမ်းသွေး	ရယ် သွမ်း သွေး	je dhwan: thwei:
ရာကျပုဆိုး	ရာ ကျ ပု ဆိုး	ja gya. pa- hsou:
ရာကျော်စပါး	ရာ ကျော် စ ပါး	ja gyo za- ba:
ရာခိုင်နှုန်း	ရာ ခိုင် နှုန်း	ja gain nhoun:
ရာဂ	ရာ ဂ	ja ga.
ရာဂီ	ရာ ဂီ	ja gi
ရာစု	ရာ စု	ja zu.
ရာစုနှစ်	ရာ စု နှစ်	ja zu. nhi'
ရာဇ	ရာ ဇ	ja za.
ရာဇကြောင်း	ရာ ဇ ကြောင်း	ja za. gyaun:
ရာဇဂိုဏ်းသင့်	ရာ ဇ ဂိုဏ်း သင့်	ja za. gain: thin.
ရာဇဌာနီ	ရာ ဇ ဌာ နီ	ja za- hta ni
ရာဇဌာနီ	ရာ ဇ ဌာ နီ	ja za. hta ni
ရာဇတိုင်	ရာ ဇ တိုင်	ja za dain
ရာဇဒဏ်	ရာ ဇ ဒဏ်	ja za- dan
ရာဇဓာနီ	ရာ ဇ ဓာ နီ	ja za. da ni
ရာဇဓံ	ရာ ဇ ဓံ	ja za- dan
ရာဇနီတိ	ရာ ဇ နီ တိ	ja za. ni ti.
ရာဇပလ္လင်	ရာ ဇ ပလ် လင်	ja za- ba lin
ရာဇမဟာမိတ်	ရာ ဇ မ ဟာ မိတ်	ja za. ma- ha mei'
ရာဇမတ်	ရာ ဇ မတ်	ja za- ma'
ရာဇမတ်ကွက်	ရာ ဇ မတ် ကွက်	ja za- ma' kwe'
ရာဇမတ္တဏ်	ရာ ဇ မတ် တဏ်	ja za. ma' tan
ရာဇရေး	ရာ ဇ ရေး	ja za. jei:
ရာဇဝင်	ရာ ဇ ဝင်	ja za- win
ရာဇဝင်ချပ်	ရာ ဇ ဝင် ချပ်	ja za- win gya'
ရာဇဝင်တွင်	ရာ ဇ ဝင် တွင်	ja za- win twin
ရာဇဝင်ပြောင်	ရာ ဇ ဝင် ပြောင်	ja za- win pjaun
ရာဇဝင်ရိုင်း	ရာ ဇ ဝင် ရိုင်း	ja za- win jain:
ရာဇဝင်လူဆိုး	ရာ ဇ ဝင် လူ ဆိုး	ja za- win lu zou:
ရာဇဝတ်	ရာ ဇ ဝတ်	ja za- wu'
ရာဇဝတ်	ရာ ဇ ဝတ်	ja za. wu'
ရာဇဝတ်ကောင်	ရာ ဇ ဝတ် ကောင်	ja za- wu' kaun
ရာဇဝတ်ကျင့်ထုံး	ရာ ဇ ဝတ် ကျင့် ထုံး	ja za- wu' kyin. htoun:
ရာဇဝတ်ကြောင်း	ရာ ဇ ဝတ် ကြောင်း	ja za- wu' kyaun:
ရာဇဝတ်ဘေး	ရာ ဇ ဝတ် ဘေး	ja za- wu' bei:
ရာဇဝတ်မှု	ရာ ဇ ဝတ် မှု	ja za- wu' mhu.
ရာဇဝတ်သင့်	ရာ ဇ ဝတ် သင့်	ja- za wu' thin.
ရာဇဝတ်သား	ရာ ဇ ဝတ် သား	ja za- wu' tha:
